listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
18382405,basic,950000,for_sale,350,1840,449,3/5/22,2022
18382017,plus,950000,for_sale,350,1840,224.5,3/4/22,2022
18381658,basic,950000,for_sale,350,1840,449,3/4/22,2022
18381020,basic,950000,for_sale,350,1840,449,3/4/22,2022
18377356,basic,950000,for_sale,350,1840,449,3/4/22,2022
18346396,plus,950000,for_sale,350,1840,224.5,3/4/22,2022
18381543,basic,950000,for_sale,330,1820,449,3/4/22,2022
19001664,basic,975000,for_sale,700,2100,1569,1/6/23,2023
19334375,basic,975000,for_sale,700,2000,829,1/7/23,2023
19487201,plus,975000,for_sale,700,1700,414.5,1/6/23,2023
18944961,premium,975000,for_sale,600,1900,414.5,1/6/23,2023
19487503,basic,975000,for_sale,500,1900,829,1/6/23,2023
18377239,basic,975000,for_sale,460,2650,799,3/4/22,2022
18376697,basic,975000,for_sale,430,1920,799,3/4/22,2022
18380893,basic,975000,for_sale,410,1900,799,3/4/22,2022
18376058,plus,975000,for_sale,350,1840,224.5,3/3/22,2022
18372037,plus,975000,for_sale,350,2540,224.5,3/3/22,2022
18377039,plus,990000,for_sale,330,2520,224.5,3/4/22,2022
19429695,plus,995000,for_sale,800,2100,699.5,1/6/23,2023
19439616,premium,995000,for_sale,800,1900,414.5,1/9/23,2023
18380915,plus,995000,for_sale,710,2900,699.5,3/4/22,2022
18924598,basic,995000,for_sale,700,2100,829,1/6/23,2023
19040637,plus,995000,for_sale,700,2000,559.5,1/6/23,2023
19433776,plus,995000,for_sale,700,2200,414.5,1/5/23,2023
19437415,plus,995000,for_sale,700,2100,784.5,1/5/23,2023
19469036,plus,995000,for_sale,700,2200,559.5,1/7/23,2023
19484096,basic,995000,for_sale,700,2100,1569,1/5/23,2023
19484375,plus,995000,for_sale,700,2000,559.5,1/5/23,2023
19484537,basic,995000,for_sale,700,1900,1119,1/5/23,2023
19484616,basic,995000,for_sale,700,2100,1569,1/5/23,2023
19487101,basic,995000,for_sale,700,2100,829,1/6/23,2023
